epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,12677.4,1.20956,2.24666,4.87191,1.1936,0,0.29077,0.30963,0.19988,0.15612,0.29077,0.30963,0.20084,0.14802,0.79981,1.42041,8.99947,0.97426,0,9.282e-05,9.282e-05,9.282e-05
2,96863.5,0.82459,1.43953,1.8012,0.9712,0,0.70295,0.53027,0.5618,0.4407,0.70295,0.53027,0.54974,0.41536,0.76526,1.47131,2.32841,0.98136,0,0.000188963,0.000188963,0.000188963
3,96867.3,0.77619,1.30859,1.10675,0.94476,0,0.81531,0.68423,0.84656,0.67532,0.81531,0.68423,0.82747,0.61273,0.76409,1.34989,1.40701,0.95103,0,0.000281147,0.000281147,0.000281147
4,96870.7,0.72327,1.16894,0.84267,0.92173,0,0.81945,0.85962,0.941,0.76701,0.81945,0.85962,0.93422,0.68528,0.74822,1.31731,0.94851,0.93396,0,0.000369374,0.000369374,0.000369374
5,96873.7,0.72256,1.20273,0.79678,0.91883,0,0.92599,0.89459,0.96603,0.79804,0.91877,0.88955,0.95421,0.72722,0.72625,1.31941,0.67237,0.9165,0,0.000453641,0.000453641,0.000453641
6,96876.7,0.6972,1.11609,0.72,0.90175,0,0.91918,0.92265,0.9618,0.79389,0.91918,0.92265,0.95454,0.73243,0.70723,1.16637,0.59641,0.91618,0,0.000533951,0.000533951,0.000533951
7,96879.6,0.68403,1.10582,0.6511,0.8981,0,0.96234,0.94606,0.98451,0.80664,0.96157,0.93823,0.97041,0.74201,0.7055,1.31007,0.51961,0.91088,0,0.000610301,0.000610301,0.000610301
8,96882.6,0.68581,1.06486,0.60384,0.89972,0,0.96791,0.97081,0.97904,0.78876,0.96256,0.96326,0.96959,0.76763,0.76617,1.28463,0.49413,0.92233,0,0.00061504,0.00061504,0.00061504
9,96885.5,0.66523,1.02994,0.58328,0.89187,0,0.97949,0.94732,0.97895,0.81465,0.98237,0.9427,0.97309,0.76211,0.69666,1.14552,0.48653,0.91947,0,0.000600902,0.000600902,0.000600902
10,96888.5,0.65726,0.9994,0.5528,0.89408,0,0.95682,0.95571,0.98103,0.81104,0.95108,0.94982,0.97439,0.76128,0.695,1.13684,0.47141,0.91156,0,0.000586765,0.000586765,0.000586765
