epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,47.1703,0.41148,0.55256,0.82724,0.81037,0,0.83425,0.9249,0.94666,0.88321,0.83448,0.92412,0.94649,0.83448,0.35601,0.49497,0.56144,0.77407,0,0.0006621,0.0006621,0.0675571
2,87.6233,0.37788,0.44052,0.4533,0.7986,0,0.96728,0.96321,0.98736,0.92765,0.96759,0.96281,0.9873,0.88991,0.34104,0.45298,0.37312,0.77105,0,0.00132869,0.00132869,0.0348903
3,128.369,0.38136,0.44562,0.44611,0.80028,0,0.8292,0.88881,0.89759,0.83795,0.82997,0.88787,0.89753,0.81334,0.36006,0.41492,0.70831,0.77301,0,0.00199495,0.00199495,0.00222326
4,169.102,0.36708,0.42354,0.41405,0.79769,0,0.94335,0.93524,0.9789,0.92375,0.94363,0.93485,0.97887,0.87457,0.34213,0.41444,0.37719,0.77314,0,0.0019989,0.0019989,0.0019989
5,209.88,0.35375,0.41259,0.39286,0.7952,0,0.92993,0.93928,0.97304,0.91435,0.92662,0.93696,0.96989,0.78959,0.34244,0.90525,0.3966,0.77439,0,0.00199805,0.00199805,0.00199805
6,251.69,0.34323,0.3974,0.36909,0.79392,0,0.93898,0.89486,0.97024,0.93855,0.93933,0.89371,0.96923,0.84677,0.27984,0.6954,0.66511,0.76587,0,0.00199695,0.00199695,0.00199695
7,292.294,0.33621,0.39325,0.36058,0.79192,0,0.96606,0.97648,0.99182,0.96012,0.96971,0.9723,0.99182,0.90426,0.27439,0.36711,0.26628,0.76317,0,0.00199561,0.00199561,0.00199561
8,333.024,0.33022,0.3893,0.3479,0.7899,0,0.97235,0.97279,0.99207,0.9707,0.9723,0.97274,0.99207,0.91326,0.24977,0.34338,0.24349,0.76017,0,0.00199402,0.00199402,0.00199402
9,373.624,0.33093,0.38467,0.33725,0.79096,0,0.97455,0.97408,0.99294,0.95273,0.97457,0.97397,0.99293,0.89819,0.31507,0.38934,0.26682,0.76693,0,0.00199219,0.00199219,0.00199219
10,414.114,0.32413,0.37697,0.332,0.79024,0,0.98022,0.97534,0.99188,0.9655,0.98086,0.97506,0.99188,0.91129,0.2699,0.34085,0.23501,0.76327,0,0.00199012,0.00199012,0.00199012
11,454.666,0.32235,0.37584,0.32946,0.78999,0,0.97521,0.9774,0.99307,0.96146,0.9752,0.97725,0.99306,0.89972,0.28162,0.3774,0.23865,0.76681,0,0.00198781,0.00198781,0.00198781
12,495.203,0.31905,0.37029,0.32055,0.78859,0,0.97521,0.97584,0.99278,0.95546,0.9751,0.97574,0.99277,0.89507,0.31197,0.39908,0.24998,0.76773,0,0.00198526,0.00198526,0.00198526
13,535.685,0.31735,0.37201,0.31719,0.7891,0,0.97845,0.97397,0.99189,0.96597,0.9784,0.97392,0.99189,0.9025,0.26514,0.3803,0.22813,0.76166,0,0.00198246,0.00198246,0.00198246
14,576.179,0.31611,0.36791,0.3124,0.7892,0,0.9707,0.97233,0.99087,0.96147,0.9707,0.97233,0.99087,0.90378,0.2787,0.35444,0.2474,0.76432,0,0.00197943,0.00197943,0.00197943
