epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,83.6426,0.37805,0.58763,0.90461,0.84182,0,0.90049,0.90266,0.97268,0.92306,0.89782,0.89891,0.96718,0.78652,0.31693,1.10689,0.48874,0.80875,0,0.000664384,0.000664384,0.0674452
2,162.38,0.37065,0.49967,0.5073,0.83815,0,0.85436,0.84623,0.94061,0.8756,0.8549,0.84441,0.94064,0.86334,0.3627,0.49596,0.65423,0.8163,0,0.00133097,0.00133097,0.0347785
3,241.608,0.36297,0.47822,0.46557,0.83703,0,0.94254,0.89071,0.97631,0.92622,0.94244,0.89042,0.97568,0.91044,0.31817,0.47361,0.43578,0.80597,0,0.00199723,0.00199723,0.00211138
4,320.653,0.34101,0.44988,0.40969,0.83048,0,0.97035,0.9609,0.99167,0.95203,0.9702,0.96072,0.99159,0.93783,0.30477,0.37643,0.28217,0.79818,0,0.0019989,0.0019989,0.0019989
5,399.355,0.32037,0.42412,0.36855,0.82373,0,0.9773,0.97538,0.99375,0.97116,0.97722,0.97554,0.99376,0.93688,0.24338,0.37521,0.22777,0.78493,0,0.00199805,0.00199805,0.00199805
6,478.563,0.30456,0.40173,0.34053,0.81884,0,0.95442,0.89894,0.97733,0.94168,0.95393,0.89751,0.9755,0.87001,0.28142,0.75912,0.38228,0.80425,0,0.00199695,0.00199695,0.00199695
7,556.645,0.29203,0.3919,0.32765,0.81363,0,0.98141,0.9751,0.99309,0.96492,0.98125,0.975,0.99305,0.93033,0.26548,0.37602,0.21262,0.78618,0,0.00199561,0.00199561,0.00199561
8,635.181,0.28285,0.37966,0.30987,0.80867,0,0.98353,0.98125,0.99342,0.97628,0.98328,0.98128,0.99341,0.94494,0.23973,0.31679,0.1965,0.77397,0,0.00199402,0.00199402,0.00199402
9,713.542,0.2778,0.37132,0.2966,0.80774,0,0.97859,0.93484,0.98357,0.95302,0.96981,0.92287,0.96542,0.82453,0.27582,1.06758,0.29911,0.80572,0,0.00199219,0.00199219,0.00199219
10,791.99,0.2725,0.36249,0.29213,0.80582,0,0.99409,0.98919,0.99484,0.98224,0.99414,0.98924,0.99484,0.95357,0.2211,0.30438,0.16433,0.77188,0,0.00199012,0.00199012,0.00199012
11,870.369,0.26898,0.35933,0.28372,0.80541,0,0.9924,0.99254,0.99488,0.98665,0.99274,0.99223,0.99488,0.95557,0.1901,0.29501,0.15286,0.76757,0,0.00198781,0.00198781,0.00198781
12,949.294,0.26678,0.35671,0.28089,0.8052,0,0.99111,0.98665,0.99472,0.98372,0.99087,0.98689,0.99472,0.95436,0.20238,0.27743,0.15977,0.76791,0,0.00198526,0.00198526,0.00198526
13,1027.71,0.2653,0.35423,0.27668,0.80452,0,0.99572,0.99396,0.99498,0.98722,0.99569,0.99407,0.99498,0.95934,0.1938,0.28145,0.14337,0.7663,0,0.00198246,0.00198246,0.00198246
14,1106.35,0.26146,0.34686,0.26899,0.80215,0,0.99675,0.99323,0.99494,0.9851,0.99683,0.99325,0.99495,0.95676,0.21005,0.28458,0.14545,0.76821,0,0.00197943,0.00197943,0.00197943
15,1185,0.25779,0.34005,0.26297,0.80129,0,0.99671,0.99351,0.99496,0.98749,0.99675,0.99355,0.99496,0.95708,0.19286,0.27478,0.13695,0.76725,0,0.00197616,0.00197616,0.00197616
16,1263.34,0.25751,0.34298,0.26311,0.80221,0,0.99443,0.99236,0.99492,0.98775,0.99437,0.9923,0.99492,0.95864,0.1859,0.2718,0.13774,0.76673,0,0.00197265,0.00197265,0.00197265
17,1342.2,0.25573,0.33859,0.25859,0.80152,0,0.99624,0.99377,0.99496,0.98782,0.99618,0.99372,0.99496,0.95828,0.19021,0.27546,0.13445,0.76594,0,0.0019689,0.0019689,0.0019689
18,1420.47,0.25435,0.33514,0.25544,0.80162,0,0.9969,0.99489,0.99497,0.98838,0.99691,0.99478,0.99497,0.96022,0.18412,0.27532,0.12854,0.76412,0,0.00196491,0.00196491,0.00196491
19,1499.19,0.25213,0.33522,0.25215,0.80115,0,0.99738,0.99513,0.99498,0.98918,0.99742,0.99489,0.99498,0.96225,0.1839,0.26575,0.1269,0.76444,0,0.00196069,0.00196069,0.00196069
20,1577.52,0.25077,0.33145,0.24707,0.79973,0,0.9979,0.99474,0.99497,0.98857,0.99762,0.99492,0.99497,0.95971,0.18108,0.27727,0.12622,0.76408,0,0.00195624,0.00195624,0.00195624
21,1656.02,0.24984,0.32871,0.24681,0.79981,0,0.99775,0.99472,0.99494,0.98861,0.99769,0.99467,0.99493,0.95959,0.17933,0.26983,0.1239,0.76432,0,0.00195155,0.00195155,0.00195155
22,1734.59,0.24941,0.32844,0.24591,0.79975,0,0.99806,0.99481,0.99498,0.98932,0.99799,0.99477,0.99498,0.95987,0.17866,0.26636,0.12052,0.76298,0,0.00194662,0.00194662,0.00194662
23,1813.44,0.24752,0.32505,0.24336,0.79956,0,0.99828,0.99608,0.99499,0.98989,0.99827,0.99607,0.99499,0.96121,0.1741,0.25953,0.11788,0.76232,0,0.00194147,0.00194147,0.00194147
